"ID","name","age","Sex","Civil Status","Having Degree","JOB ROLE","Department","Work From","Work To","Tenure(Years)","Salary(Rs)","Bonus","Claims","Worked Prject","NoOfLeaves","Distance(km)","NoOfParents","NoOfChildren","NoOfComplaints"
"E00168","C.K.Y.Musammil","31","Female","Single","No","Developer Intern","Software","2009-09-12","2014-04-01","5","27600.0","360","9602","Covance","18","30.242","0","0","5"
"E00169","Z.K.K.F.Daniel","25","Female","Single","No","Junior Designer","Software","2010-10-23","2014-12-13","4","30600.0","634","1163","Incident Management System","16","9.827","1","0","3"
"E00170","N.P.H.Senarathna","29","Female","Single","Yes","","","1983-04-05","1991-03-19","8","0.0","0","5376","New York Life","4","43.337","0","0","3"
"E00171","P.H.Darwin","32","Female","Single","Yes","System Admin","IT","1983-10-29","2012-01-05","29","58700.0","1164","1445","Claim Administration System Migration","14","48.037","0","0","4"
"E00172","M.L.Y.W.Karunasena","26","Female","Married","Yes","Finance Manager","Financial","1992-01-26","2013-01-03","21","120700.0","17105","1734","Btaf","1","59.956","3","3","3"
"E00173","Q.D.Senarathna","31","Female","Single","Yes","IT Manager","IT","1983-08-31","2004-02-10","21","73500.0","2870","2375","Ethna","1","50.085","1","0","0"
"E00174","A.A.Y.Senanayake","40","Female","Single","No","IT Trainee","IT","1994-04-10","1996-12-28","2","20500.0","348","6844","Btaf","0","73.353","0","0","6"
"E00175","F.Abdulla","50","Female","Single","No","IT Officer - Intern","IT","1982-10-26","1999-06-10","17","25400.0","394","8880","Budget Management Centre","5","82.173","2","0","5"
"E00176","I.M.F.M.Darrel","44","Female","Single","No","Junior Designer","Software","1984-01-15","2009-01-02","25","30600.0","493","4569","Ethna","14","17.103","0","0","8"
"E00177","U.George","39","Male","Single","No","Developer Intern","Software","2006-07-24","2014-04-10","8","27600.0","340","4692","Risk Management System","16","28.833","1","0","0"
"E00178","U.J.L.Jayasuriya","25","Male","Single","No","Software Tester","Software","1980-02-09","2000-05-12","20","20500.0","392","2626","CAT Migration","14","17.905","1","0","5"
"E00179","F.W.B.Perera","49","Female","Single","Yes","IT App Man","IT","1974-11-02","2003-04-09","29","53000.0","3762","4082","Budget Management Centre","8","6.658","0","0","7"
"E00180","I.U.Jayasuriya","42","Male","Single","No","","","1993-10-11","2013-03-22","20","0.0","0","6429","Trico","14","74.815","2","0","4"
"E00181","K.E.Sirisena","41","Female","Single","No","Software Tester","Software","1994-09-29","1997-01-27","3","20500.0","478","5576","Covance","20","16.006","1","0","3"
"E00182","R.X.C.Warnapura","35","Female","Single","No","Junior Business Analyst","Financial","2000-09-24","2005-04-05","5","22500.0","255","2921","Claim Administration System Migration","19","28.76","0","0","0"
"E00183","D.C.S.Seram","43","Female","Single","No","IT","IT","1987-12-23","2005-01-15","18","20500.0","327","6777","Incident Management System","18","23.384","0","0","7"
"E00184","K.B.V.Karunasena","40","Female","Single","No","IT Officer - Intern","IT","1988-12-19","2008-01-25","20","25400.0","302","9424","Covance","8","61.819","1","0","6"
"E00185","U.S.Q.Bandaranayake","49","Male","Single","No","Sales Executive","Financial","1972-05-13","1994-05-25","22","31500.0","500","5950","Ethna","19","92.834","2","0","3"
"E00186","P.L.Jayasuriya","29","Male","Single","Yes","IT Project Leader","IT","1978-01-23","1979-03-05","1","78300.0","6352","3508","Hazard Management System","16","82.918","2","0","7"
"E00187","O.Q.Arafat","47","Female","Married","Yes","Accountant","Financial","1971-10-08","1980-05-09","9","90700.0","9586","6945","Claim Administration System Migration","11","76.303","0","2","7"
"E00188","A.R.Q.R.Karunarathna","40","Female","Married","No","IT Trainee","IT","1983-08-03","1984-11-22","1","20500.0","391","5566","Budget Management Centre","6","27.055","2","3","4"
"E00189","Q.U.Jayawardena","36","Female","Single","No","IT Trainee","IT","2009-06-28","2011-04-19","2","20500.0","382","1046","Interplan","18","81.585","1","0","6"
"E00190","M.X.O.Pathirana","47","Female","Married","No","IT Trainee","IT","1970-07-15","1988-01-24","18","20500.0","256","8002","New York Life","2","77.605","2","2","2"
"E00191","F.N.T.Daniel","48","Male","Single","No","","","1998-10-20","2004-04-30","6","0.0","0","8838","Ethna","14","38.321","2","0","1"
"E00192","R.P.Rajakaruna","25","Female","Married","No","Software Engineering Intern","Software","2007-05-19","2011-10-31","4","26700.0","371","2774","Incident Management System","19","41.552","4","5","8"
"E00193","Y.Q.T.H.Viswanathan","48","Female","Single","No","Junior Business Analyst","Financial","1986-10-30","2008-11-26","22","22500.0","324","2830","CAT Migration","9","44.578","1","0","6"
"E00194","G.L.U.Sarathchandra","42","Female","Single","No","","","1989-05-11","2011-01-29","22","0.0","0","4962","Btaf","13","14.32","0","0","4"
"E00195","O.N.F.T.Pathirana","47","Female","Single","No","Developer Intern","Software","1990-01-11","2006-04-29","16","27600.0","500","2053","Interplan","8","60.124","0","0","0"
"E00196","M.J.Darrel","26","Male","Single","No","Sales Executive","Financial","1977-06-02","2014-08-02","37","31500.0","688","9979","Risk Management System","15","79.511","0","0","1"
"E00197","O.E.X.F.Warnapura","49","Male","Single","No","Junior Designer","Software","1973-05-05","1995-10-14","22","30600.0","412","7016","Hazard Management System","11","71.36","1","0","7"
"E00198","U.Senanayake","40","Male","Single","No","Software Engineering Intern","Software","2007-12-10","2009-05-15","2","26700.0","487","7285","Telemar","1","62.225","2","0","8"
"E00199","I.I.B.Senanayake","26","Female","Single","No","IT Officer - Intern","IT","2001-08-29","2008-06-24","7","25400.0","387","9759","Budget Management Centre","15","26.509","0","0","5"
"E00200","I.L.Hettiarachchi","36","Male","Single","No","Software Tester","Software","1978-09-24","2014-04-22","36","20500.0","325","1924","Hazard Management System","19","40.504","1","0","8"
"E00201","X.G.Gunarathna","36","Female","Single","Yes","IT Manager","IT","1996-08-27","2005-05-31","9","73500.0","1708","5331","Covance","1","4.732","2","0","1"
"E00202","J.A.Warnapura","44","Female","Married","No","Sales Executive","Financial","1987-02-09","2012-07-13","25","31500.0","608","7332","Interplan","10","62.015","1","1","5"
"E00203","S.B.P.Rajapaksha","46","Male","Single","No","","","1976-05-20","2011-07-04","35","0.0","0","7018","Budget Management Centre","8","33.748","0","0","7"
"E00204","Q.Jayawardena","45","Female","Married","No","","","1983-07-29","1987-06-14","4","0.0","0","2248","Btaf","6","21.236","4","3","3"
"E00205","N.R.Kapukotuwa","36","Female","Single","Yes","System Admin","IT","1994-09-03","2009-09-24","15","58700.0","1535","1424","Hazard Management System","20","77.128","1","0","3"
"E00206","S.J.J.Kapugedara","39","Female","Single","No","Sales Executive","Financial","1997-12-03","2008-11-22","11","31500.0","651","1013","Ethna","6","53.638","1","0","1"
"E00207","S.P.O.Kapugedara","45","Female","Single","No","IT","IT","1972-01-17","2012-01-06","40","20500.0","388","5449","CAT Migration","18","48.775","2","0","2"
"E00208","N.A.Musammil","40","Female","Single","No","Junior Designer","Software","2000-10-06","2013-11-09","13","30600.0","474","8532","Budget Management Centre","19","64.65","0","0","5"
"E00209","T.B.O.Rajapaksha","47","Male","Single","No","Software Tester","Software","1988-03-28","2012-07-03","24","20500.0","203","4788","Telemar","0","27.351","1","0","8"
"E00210","T.R.N.Pathirana","33","Female","Single","Yes","Senior Designer","Software","1996-05-06","2010-11-10","14","67600.0","6462","5562","Btaf","20","48.374","1","0","0"
"E00211","O.T.Jayawardena","25","Female","Single","No","Junior Business Analyst","Financial","1991-09-17","1994-11-12","3","22500.0","347","4168","Trico","18","88.895","2","0","2"
"E00212","Q.K.N.Kodithuwakku","20","Female","Married","No","Software Engineering Intern","Software","1978-08-14","2006-01-19","28","26700.0","398","5105","Btaf","1","32.86","0","4","5"
"E00213","G.C.N.O.A.Gunarathna","34","Male","Married","Yes","Accountant","Financial","1973-02-23","2005-05-26","32","90700.0","6861","4799","Interplan","10","59.361","1","5","0"
"E00214","K.J.V.Pathirana","43","Female","Single","No","Software Tester","Software","2002-12-05","2007-01-21","5","20500.0","219","4902","Covance","0","25.033","2","0","5"
"E00215","R.X.I.Senarathna","26","Female","Single","Yes","Software Architecturer","Planning","2002-04-12","2007-04-25","5","80400.0","3363","9021","Risk Management System","4","24.469","1","0","7"
"E00216","T.Q.I.O.Senarathna","35","Male","Single","No","IT","IT","2008-09-13","2009-08-14","1","20500.0","390","9776","Hazard Management System","5","67.873","2","0","5"
"E00217","B.Samararathna","46","Female","Single","No","Sales Executive","Financial","1998-05-01","2001-03-21","3","31500.0","552","1943","Claim Administration System Migration","14","89.505","0","0","7"
"E00218","R.Viswanathan","28","Female","Single","No","Junior Designer","Software","1981-08-24","2013-05-08","32","30600.0","535","6777","Claim Administration System Migration","12","28.181","0","0","3"
"E00219","O.L.Senarathna","31","Male","Single","Yes","Senior Business Analyst","Financial","1978-09-02","2001-01-23","23","72300.0","2777","2447","Interplan","1","14.838","1","0","1"
"E00220","C.C.O.P.Y.Hettiarachchi","26","Male","Married","No","Software Engineering Intern","Software","1988-08-04","2003-11-26","15","26700.0","486","3115","Claim Administration System Migration","5","80.393","2","5","6"
"E00221","O.T.V.N.Sarathchandra","45","Female","Married","Yes","System Analyst","Planning","2004-03-03","2014-02-04","10","91250.0","16638","2260","Budget Management Centre","6","62.296","3","3","8"
"E00222","T.O.G.V.Perera","33","Male","Single","Yes","IT App Man","IT","1993-10-28","2009-06-12","16","53000.0","4702","2257","Hazard Management System","20","41.468","1","0","1"
"E00223","T.L.Arafat","24","Female","Single","Yes","Tech Lead","Software","2007-10-14","2009-08-11","2","75000.0","901","5205","Btaf","10","44.94","0","0","4"
"E00224","A.E.Sarathchandra","30","Male","Married","No","Sales Executive","Financial","2004-09-18","2008-03-14","4","31500.0","536","3509","Telemar","16","13.186","4","2","7"
"E00225","O.J.R.X.Darwin","20","Female","Married","No","IT Trainee","IT","1971-09-07","1991-03-18","20","20500.0","272","8971","Hazard Management System","1","9.621","1","1","3"
"E00226","W.D.B.H.Warnapura","26","Female","Single","No","IT","IT","1998-01-06","2003-06-11","5","20500.0","453","4841","Covance","10","40.174","2","0","1"
"E00227","Y.J.Sirisena","26","Female","Single","No","Developer Intern","Software","2000-10-22","2009-03-05","9","27600.0","538","6039","Telemar","3","1.03","1","0","4"
"E00228","Y.G.Kodithuwakku","40","Female","Married","No","Junior Designer","Software","2005-05-30","2012-03-06","7","30600.0","738","3433","Covance","14","84.82","2","2","8"
"E00229","L.V.Abdulla","43","Female","Single","No","IT Trainee","IT","1989-01-19","2004-09-04","15","20500.0","302","4287","Interplan","12","21.666","2","0","7"
"E00230","X.U.Abdulla","29","Male","Married","Yes","Senior Business Analyst","Financial","1977-08-12","2012-05-26","35","72300.0","7254","9135","Ethna","20","41.02","1","2","0"
"E00231","Y.Darwin","29","Female","Single","No","IT","IT","1998-05-08","2006-09-20","8","20500.0","355","9415","CAT Migration","3","21.694","1","0","5"
"E00232","Q.Karunarathna","29","Female","Single","Yes","Accountant","Financial","2001-04-05","2005-08-27","4","90700.0","6637","1587","Hazard Management System","8","88.696","2","0","2"
"E00233","M.K.Arafat","43","Male","Single","No","IT Officer - Intern","IT","1981-02-24","1991-07-08","10","25400.0","344","8450","Interplan","17","76.853","0","0","6"
"E00234","Q.I.Samarasinghe","42","Male","Single","No","","","1981-06-06","2005-06-13","24","0.0","0","8887","Claim Administration System Migration","0","79.588","2","0","8"
"E00235","J.Fernando","50","Female","Single","No","Developer Intern","Software","1997-09-28","2014-12-20","17","27600.0","558","6801","CAT Migration","9","9.025","0","0","1"
"E00236","W.I.Jayasuriya","39","Female","Single","No","Sales Executive","Financial","2010-07-15","2014-02-22","4","31500.0","716","8806","Claim Administration System Migration","19","95.133","2","0","3"
"E00237","K.A.P.Kodithuwakku","22","Female","Single","No","Software Engineering Intern","Software","2000-01-04","2013-03-15","13","26700.0","550","9652","Covance","9","92.515","0","0","6"
"E00238","U.G.A.Senanayake","24","Female","Single","No","Junior Business Analyst","Financial","1983-09-27","2000-01-11","17","22500.0","347","4536","Btaf","4","19.253","0","0","6"
"E00239","U.M.L.Samarasinghe","20","Female","Single","Yes","QA Mananger","QA","1978-09-13","1992-01-11","14","82600.0","1574","7754","New York Life","13","83.306","2","0","3"
"E00240","H.Seram","22","Male","Married","No","Developer Intern","Software","2003-02-06","2011-09-09","8","27600.0","540","5550","Claim Administration System Migration","4","99.225","1","3","6"
"E00241","W.A.Sarathchandra","23","Male","Single","No","Sales Executive","Financial","1976-04-06","1985-03-25","9","31500.0","545","6987","Budget Management Centre","8","5.532","0","0","0"
"E00242","S.M.Darwin","46","Male","Single","No","Junior Business Analyst","Financial","1989-10-14","1991-12-11","2","22500.0","299","9999","Hazard Management System","18","26.608","1","0","6"
"E00243","Y.M.Senanayake","37","Female","Single","No","Junior Designer","Software","1972-05-22","1976-03-12","4","30600.0","704","8015","Interplan","16","62.473","1","0","5"
"E00244","I.F.S.H.Kapukotuwa","26","Female","Married","No","Sales Executive","Financial","1975-03-02","2001-04-25","26","31500.0","547","2601","Interplan","0","32.538","0","3","2"
"E00245","V.K.D.C.Gunarathna","30","Male","Single","No","","","1979-04-22","1981-07-27","2","0.0","0","3713","Interplan","8","55.254","2","0","2"
"E00246","D.I.Z.Senanayake","44","Female","Single","Yes","Tech Lead","Software","1975-12-11","1983-09-17","8","75000.0","4723","7062","Trico","0","70.581","1","0","5"
"E00247","J.D.R.Arafat","41","Male","Married","No","Junior Business Analyst","Financial","2002-05-07","2004-04-30","2","22500.0","276","4499","Interplan","7","73.454","3","3","1"
"E00248","G.L.Seram","38","Male","Single","Yes","System Admin","IT","1975-10-01","1979-03-20","4","58700.0","5255","7947","Interplan","15","66.068","2","0","4"
"E00249","D.Q.X.S.S.Abdulla","31","Male","Married","Yes","Software Architecturer","Planning","2002-01-06","2012-12-03","10","80400.0","8720","1639","Interplan","3","53.824","1","1","1"
"E00250","T.P.X.Kapugedara","20","Male","Single","No","Software Engineering Intern","Software","1983-02-28","1989-01-30","6","26700.0","501","6734","Interplan","10","84.199","2","0","0"
"E00251","K.George","48","Female","Single","No","Junior Designer","Software","2001-11-28","2014-04-30","13","30600.0","423","5134","Risk Management System","6","45.067","0","0","2"
"E00252","O.Jayasuriya","25","Female","Single","No","Developer Intern","Software","1995-06-19","2002-01-20","7","27600.0","449","1244","Telemar","4","25.909","2","0","1"
"E00253","G.C.G.Samararathna","49","Female","Single","No","Junior Business Analyst","Financial","2001-03-21","2012-10-24","11","22500.0","257","5614","Claim Administration System Migration","6","26.303","1","0","0"
"E00254","S.N.Kapukotuwa","43","Female","Married","Yes","IT App Man","IT","1994-07-02","2008-08-23","14","53000.0","3033","4260","Telemar","15","15.126","4","0","6"
"E00255","Y.W.Perera","24","Female","Married","No","Software Tester","Software","2000-01-14","2008-03-01","8","20500.0","364","4093","Budget Management Centre","12","68.492","2","4","5"
"E00256","G.N.Gunarathna","50","Female","Married","Yes","Software Architecturer","Planning","1975-08-23","2001-06-07","26","80400.0","6163","9460","Ethna","16","49.621","2","4","4"
"E00257","X.Z.X.Samararathna","20","Male","Married","No","Software Tester","Software","1989-08-01","2009-11-21","20","20500.0","251","4519","Ethna","14","35.914","0","4","8"
"E00258","U.X.N.Pathirana","30","Female","Married","No","Sales Executive","Financial","1977-07-24","1999-09-15","22","31500.0","603","9211","Claim Administration System Migration","2","21.123","1","2","2"
"E00259","M.E.V.B.Gunarathna","33","Female","Single","Yes","System Admin","IT","1999-12-03","2014-01-08","15","58700.0","4573","8897","Btaf","18","62.091","2","0","0"
"E00260","Q.Q.Kodithuwakku","28","Female","Single","Yes","IT App Man","IT","1994-10-15","1995-09-16","1","53000.0","3085","6128","Budget Management Centre","2","84.138","2","0","8"
"E00261","N.Samararathna","40","Female","Single","No","Software Engineering Intern","Software","1981-03-23","2009-06-20","28","26700.0","396","4310","New York Life","1","77.072","1","0","0"
"E00262","E.Anand","48","Male","Married","Yes","Assistant Accountant","Financial","1981-10-01","1991-05-15","10","67500.0","5138","3567","CAT Migration","12","6.621","1","4","6"
"E00263","A.P.I.Darrel","31","Female","Single","No","","","1973-12-31","2013-01-26","40","0.0","0","2186","Hazard Management System","20","15.338","0","0","7"
"E00264","N.C.H.Sarathchandra","32","Male","Single","No","IT Officer - Intern","IT","1976-01-20","2004-01-24","28","25400.0","368","3299","Covance","19","12.562","0","0","1"
"E00265","N.T.Samararathna","36","Male","Single","Yes","IT App Man","IT","1971-10-21","1995-06-30","24","53000.0","3782","2939","Interplan","2","84.682","0","0","8"
"E00266","Q.Silva","42","Female","Single","No","Sales Executive","Financial","2003-03-29","2011-03-01","8","31500.0","544","8125","Covance","16","40.09","0","0","5"
"E00267","S.Anand","31","Male","Married","No","IT Officer - Intern","IT","1984-12-02","2002-11-24","18","25400.0","340","9577","Btaf","4","9.65","0","4","3"
"E00268","X.Jayawardena","35","Female","Single","Yes","IT Manager","IT","1979-06-21","2002-06-15","23","73500.0","3002","7595","Risk Management System","16","32.265","2","0","5"
"E00269","M.Daniel","33","Female","Married","Yes","Finance Manager","Financial","1974-06-05","1998-10-10","24","120700.0","19002","9009","Btaf","16","85.728","0","4","4"
"E00270","H.R.Q.Sirisena","32","Female","Single","No","IT Trainee","IT","2005-06-09","2009-09-07","4","20500.0","229","9009","Incident Management System","19","76.676","0","0","0"
"E00271","J.Kapukotuwa","44","Male","Married","No","IT Officer - Intern","IT","1972-01-05","1987-11-05","15","25400.0","343","1452","Risk Management System","9","50.952","2","1","8"
"E00272","Z.W.Q.Karunasena","26","Female","Single","Yes","IT App Man","IT","1995-01-10","2004-01-22","9","53000.0","2593","8882","Ethna","13","22.303","2","0","0"
"E00273","W.E.P.S.F.Viswanathan","40","Female","Single","Yes","Tech Lead","Software","2005-05-12","2010-10-10","5","75000.0","5561","7554","Interplan","13","64.761","0","0","6"
"E00274","X.Y.O.X.K.Viswanathan","22","Male","Single","No","IT Officer - Intern","IT","1976-06-13","1997-02-11","21","25400.0","309","5614","Telemar","7","35.976","1","0","3"
"E00275","J.Samararathna","26","Female","Single","No","IT Officer - Intern","IT","2002-05-02","2003-10-16","1","25400.0","332","8333","Incident Management System","11","54.174","0","0","6"
"E00276","O.C.Sirisena","22","Female","Single","Yes","System Admin","IT","1997-02-05","2014-03-22","17","58700.0","3017","7258","Incident Management System","18","26.976","2","0","7"
"E00277","U.P.Z.Seram","48","Female","Single","No","Junior Designer","Software","1997-01-26","2003-11-30","6","30600.0","413","5738","Claim Administration System Migration","7","95.637","2","0","0"
"E00278","X.V.L.Karunarathna","48","Female","Single","Yes","Accountant","Financial","1990-07-10","2009-12-06","19","90700.0","10460","2328","Interplan","8","21.995","0","0","8"
"E00279","M.Z.Bandaranayake","47","Female","Single","No","Sales Executive","Financial","2008-09-16","2012-01-07","4","31500.0","700","5072","Claim Administration System Migration","20","94.349","2","0","5"
"E00280","A.L.I.O.Sirisena","28","Female","Single","No","Sales Executive","Financial","2000-03-15","2002-10-27","2","31500.0","604","5486","Risk Management System","3","50.949","1","0","3"
"E00281","I.Musammil","21","Male","Single","No","","","1998-12-28","1999-06-06","1","0.0","0","9763","Ethna","3","13.462","1","0","3"
"E00282","Y.L.O.Rajakaruna","28","Female","Single","No","","","2001-12-21","2007-03-19","6","0.0","0","3742","Budget Management Centre","14","87.426","2","0","5"
"E00283","W.G.P.Darwin","35","Male","Single","No","Software Engineering Intern","Software","2001-05-31","2009-03-09","8","26700.0","468","3252","Telemar","8","13.296","0","0","7"
"E00284","Y.B.F.Silva","49","Male","Single","No","Software Engineering Intern","Software","1998-06-14","2013-01-30","15","26700.0","549","4091","Btaf","5","66.604","1","0","1"
"E00285","H.K.F.Fernando","36","Female","Married","No","Junior Business Analyst","Financial","2008-02-11","2012-10-28","4","22500.0","369","7309","CAT Migration","18","53.127","0","0","2"
"E00286","V.Z.Arafat","22","Female","Married","Yes","Finance Manager","Financial","1987-07-15","1994-09-23","7","120700.0","7324","2631","Budget Management Centre","9","7.133","0","5","2"
"E00287","X.Z.P.Karunasena","36","Female","Single","No","","","2005-02-10","2012-06-01","7","0.0","0","6990","New York Life","15","47.984","0","0","6"
"E00288","B.C.A.Sirisena","50","Female","Married","No","","","1980-01-15","1992-06-23","12","0.0","0","8637","Telemar","9","72.937","4","2","0"
"E00289","R.U.S.B.Rajapaksha","26","Female","Single","No","Sales Executive","Financial","1987-02-14","2013-07-02","26","31500.0","511","9142","Incident Management System","3","2.374","0","0","2"
"E00290","T.M.V.Sarathchandra","45","Female","Married","No","IT","IT","1995-06-02","2000-03-07","5","20500.0","400","1412","Covance","8","52.029","4","1","7"
"E00291","S.E.P.Samararathna","46","Female","Married","Yes","IT Project Leader","IT","1973-03-14","1977-11-14","4","78300.0","9931","9385","Risk Management System","4","5.569","2","1","1"
"E00292","N.Q.Senanayake","28","Female","Married","No","","","2008-10-04","2009-06-23","1","0.0","0","4815","Claim Administration System Migration","7","2.338","2","0","3"
"E00293","R.Pathirana","45","Female","Single","Yes","System Analyst","Planning","1999-11-13","2005-05-23","6","91250.0","19209","3961","Trico","1","78.027","2","0","6"
"E00294","W.O.S.Z.Darwin","43","Female","Single","Yes","Assistant Accountant","Financial","1993-01-20","2008-09-30","15","67500.0","1036","8727","Trico","6","6.961","1","0","8"
"E00295","P.S.Q.Bandaranayake","26","Male","Married","No","IT Officer - Intern","IT","2007-11-15","2011-03-17","4","25400.0","351","3266","Risk Management System","14","16.674","3","0","5"
"E00296","O.Y.Q.Sarathchandra","26","Female","Single","Yes","HR Manager","HR","1991-04-16","2005-03-14","14","58700.0","828","6853","Interplan","1","72.41","0","0","8"
"E00297","Y.I.E.Samararathna","24","Female","Single","Yes","Senior Designer","Software","1996-04-15","1999-12-19","3","67600.0","3453","2318","Telemar","10","76.056","1","0","4"
"E00298","A.E.B.Daniel","37","Female","Married","No","IT Trainee","IT","2010-01-01","2014-10-13","4","20500.0","328","7205","Btaf","15","35.477","1","4","4"
"E00299","Y.B.C.Seram","47","Female","Married","No","","","1995-09-28","2013-09-01","18","0.0","0","3685","Budget Management Centre","13","6.256","3","1","0"
"E00300","R.Q.C.Daniel","41","Female","Single","No","IT","IT","2001-03-20","2013-02-11","12","20500.0","404","5096","Covance","19","98.344","0","0","2"
"E00301","I.M.Karunasena","27","Female","Single","No","Software Tester","Software","2004-03-08","2011-12-30","7","20500.0","222","1764","Trico","19","61.669","2","0","7"
"E00302","P.F.Daniel","46","Male","Married","No","","","1989-12-21","2006-04-03","17","0.0","0","2419","Btaf","13","70.25","0","4","8"
"E00303","D.J.V.Gunarathna","47","Female","Single","No","Junior Business Analyst","Financial","2000-01-10","2003-03-01","3","22500.0","252","7759","Trico","5","78.65","0","0","3"
"E00304","N.W.P.Seram","43","Female","Single","No","IT","IT","1991-09-23","2007-08-22","16","20500.0","394","6742","Btaf","3","30.354","2","0","0"
"E00305","M.W.O.Abdulla","49","Male","Married","No","IT Officer - Intern","IT","2004-08-17","2014-03-22","10","25400.0","356","3800","Claim Administration System Migration","13","84.411","1","2","6"
"E00306","P.P.L.U.Sirisena","50","Male","Single","No","IT Trainee","IT","1985-01-08","2011-06-06","26","20500.0","323","9553","Btaf","20","18.123","2","0","6"
"E00307","C.Z.J.G.J.Karunasena","29","Female","Single","No","IT","IT","2007-07-24","2015-01-01","8","20500.0","474","7197","New York Life","10","68.637","2","0","6"
"E00308","L.A.De Silva","37","Female","Married","No","Software Engineering Intern","Software","1992-02-15","2004-08-09","12","26700.0","314","8666","Trico","16","1.86","1","4","6"
"E00309","E.C.Karunasena","37","Female","Married","No","Sales Executive","Financial","1986-01-23","2008-01-15","22","31500.0","512","9225","Risk Management System","7","55.131","0","0","2"
"E00310","W.Z.Karunarathna","38","Male","Single","No","Junior Designer","Software","2007-08-25","2013-03-12","6","30600.0","538","1596","Covance","4","2.13","0","0","6"
"E00311","U.G.G.Arafat","47","Male","Single","No","","","1988-11-01","2005-05-31","17","0.0","0","9430","Hazard Management System","1","31.501","2","0","4"
"E00312","L.U.Anand","39","Female","Single","Yes","Senior Designer","Software","1982-10-28","2013-06-19","31","67600.0","3382","4003","Trico","13","93.343","2","0","5"
"E00313","T.B.Gunarathna","37","Female","Single","Yes","Software Architecturer","Planning","2006-03-30","2007-10-12","1","80400.0","8759","4812","New York Life","11","97.944","2","0","8"
"E00314","I.L.D.N.Pathirana","43","Female","Single","No","","","2010-11-29","2014-03-18","4","0.0","0","8308","Telemar","9","83.579","1","0","3"
"E00315","F.E.X.Seram","46","Male","Married","No","Junior Designer","Software","1975-09-15","1981-06-18","6","30600.0","453","5777","Covance","6","8.166","4","4","3"
"E00316","Z.Hettiarachchi","44","Female","Single","Yes","Tech Lead","Software","1988-05-20","2010-08-18","22","75000.0","4166","5159","Ethna","9","91.178","1","0","7"
"E00317","C.T.B.Bandaranayake","23","Female","Single","Yes","IT App Man","IT","1970-07-06","1981-11-08","11","53000.0","2673","7570","Trico","20","33.087","0","0","3"
"E00318","O.F.Arafat","38","Male","Single","Yes","IT Manager","IT","2007-07-15","2010-08-17","3","73500.0","5363","4351","Hazard Management System","5","33.065","2","0","0"
"E00319","Y.L.F.V.Darrel","31","Female","Single","No","Junior Business Analyst","Financial","2010-12-25","2011-08-05","1","22500.0","327","3636","Risk Management System","8","90.162","1","0","4"
"E00320","O.J.Kodithuwakku","43","Female","Single","No","","","1982-10-25","1990-08-11","8","0.0","0","8474","Ethna","13","31.477","1","0","3"
"E00321","C.L.Fernando","38","Male","Single","No","IT Trainee","IT","1996-12-13","2011-10-01","15","20500.0","356","7460","Risk Management System","10","50.217","1","0","7"
"E00322","B.U.T.W.Viswanathan","29","Female","Single","Yes","Software Engineer","IT","1981-01-19","2014-06-01","33","88550.0","12536","2793","Incident Management System","2","18.829","2","0","7"
"E00323","D.Anand","21","Female","Married","Yes","Software Architecturer","Planning","1973-03-22","2006-02-21","33","80400.0","12010","8248","Claim Administration System Migration","3","11.128","2","3","6"
"E00324","S.F.Q.I.J.Musammil","26","Female","Single","No","","","1986-02-28","2005-07-05","19","0.0","0","5755","Hazard Management System","8","79.11","0","0","4"
"E00325","F.F.A.M.M.Senarathna","47","Female","Single","Yes","Finance Manager","Financial","1971-08-22","2008-04-11","37","120700.0","16198","5457","Claim Administration System Migration","5","2.847","1","0","1"
"E00326","K.Kapukotuwa","41","Male","Single","Yes","IT App Man","IT","2002-07-19","2012-09-28","10","53000.0","4268","1833","Trico","15","88.576","2","0","7"
"E00327","Z.Kodithuwakku","28","Male","Single","Yes","Software Architecturer","Planning","1994-03-21","2011-08-03","17","80400.0","9326","3828","Interplan","9","33.231","1","0","8"
"E00328","K.A.P.Jayasuriya","33","Female","Single","No","Software Tester","Software","1980-05-27","2010-09-07","30","20500.0","292","1160","Telemar","14","25.159","1","0","6"
"E00329","P.N.Karunasena","37","Male","Single","No","IT Trainee","IT","1983-12-12","1991-03-01","8","20500.0","317","4842","Trico","5","80.16","1","0","7"
"E00330","T.C.P.Karunarathna","37","Male","Married","Yes","Senior Business Analyst","Financial","2002-10-10","2004-08-30","2","72300.0","2758","9730","New York Life","20","61.696","1","0","2"
"E00331","D.E.De Silva","39","Female","Single","No","Software Engineering Intern","Software","1976-08-06","2001-02-24","25","26700.0","354","3825","Interplan","18","64.822","0","0","1"
"E00332","K.Darrel","20","Female","Single","No","Sales Executive","Financial","1994-08-30","2006-04-29","12","31500.0","577","5399","Risk Management System","1","93.306","0","0","1"
"E00333","Y.I.U.Rajakaruna","35","Female","Single","Yes","IT App Man","IT","1986-03-09","2009-06-24","23","53000.0","2036","8196","Incident Management System","6","58.848","1","0","5"
"E00334","I.M.Jayawardena","42","Male","Married","Yes","Senior Designer","Software","1992-01-18","2003-02-14","11","67600.0","1965","1488","Ethna","18","78.06","4","0","5"
"E00335","V.Arafat","33","Female","Married","No","Junior Designer","Software","1987-11-21","2002-12-30","15","30600.0","667","9640","Covance","0","97.645","2","0","4"
