"ID","name","age","Sex","Civil Status","Having Degree","JOB ROLE","Department","Work From","Work To","Tenure(Years)","Salary(Rs)","Bonus","Claims","Worked Prject","NoOfLeaves","Distance(km)","NonSchoolGoingDep","NoOfChildren","NoOfComplaints","Reason to Leave","Churn"
"E001466","M.P.Soris","23","Female","Single","No","Software Engineering Intern","Software","1984-09-16","2006-06-21","22","26700.0","366","7662","Incident Management System","19","13.831","0","0","1","","0"
"E001467","N.L.Rodrigo","25","Female","Single","No","Sales Executive","Financial","1984-01-08","2008-12-06","24","31500.0","588","6925","Hazard Management System","2","45.998","2","0","5","Travelling Problem","1"
"E001468","X.C.B.Arafat","50","Male","Single","No","IT Trainee","IT","1986-11-26","2007-05-18","21","20500.0","259","7487","Trico","8","34.447","2","0","1","","0"
"E001469","Z.R.Soertsz","34","Female","Single","No","Software Engineering Intern","Software","1988-05-28","2011-01-02","23","26700.0","308","6425","Interplan","1","4.407","0","0","0","","0"
"E001470","Z.F.Senarathna","50","Male","Single","No","Software Engineering Intern","Software","1990-08-19","2000-08-20","10","26700.0","504","6444","New York Life","7","73.114","0","0","3","","0"
"E001471","L.Kapukotuwa","40","Female","Married","Yes","Software Architecturer","Planning","1988-10-11","1998-09-15","10","80400.0","4397","7986","Trico","13","83.298","5","2","3","Lack of benefits","1"
"E001472","O.M.A.I.Jayasuriya","22","Male","Single","No","Sales Executive","Financial","1977-09-17","1986-08-23","9","31500.0","611","9582","Covance","19","53.589","0","0","0","","0"
"E001473","U.Darwin","29","Female","Single","No","Sales Executive","Financial","1971-10-13","1984-05-22","13","31500.0","723","4846","New York Life","3","63.601","2","0","3","Travelling Problem","1"
"E001474","N.G.T.Bandaranayake","38","Female","Single","Yes","IT App Man","IT","1993-02-08","1994-02-05","1","53000.0","2269","6128","Trico","10","75.227","0","0","5","Travelling Problem","1"
"E001475","W.De Silva","38","Female","Single","No","Junior Designer","Software","1990-11-16","1999-10-04","9","30600.0","651","2976","CAT Migration","7","65.145","1","0","5","Travelling Problem","1"
"E001476","T.N.Samarasinghe","35","Male","Single","No","Junior Business Analyst","Financial","2009-08-15","2011-05-08","2","22500.0","292","8848","New York Life","7","44.765","1","0","2","","0"
"E001477","M.De Souza","28","Female","Married","Yes","IT App Man","IT","2004-01-23","2013-06-15","9","53000.0","4677","5001","Trico","3","90.828","1","2","2","Lack of benefits","1"
"E001478","H.W.Soris","25","Female","Married","Yes","Finance Manager","Financial","2000-04-20","2011-02-21","11","120700.0","10540","9712","Incident Management System","19","18.925","5","1","3","Travelling Problem","1"
"E001479","J.R.Bandaranayake","47","Female","Married","Yes","IT Project Leader","IT","2002-11-30","2003-07-07","1","78300.0","3101","1765","Incident Management System","17","76.182","2","3","2","Lack of benefits","1"
"E001480","T.O.K.G.Motha","24","Female","Married","No","Junior Business Analyst","Financial","1971-08-03","1991-04-17","20","22500.0","264","9037","Hazard Management System","19","64.737","5","2","3","Salary Problem","1"
"E001481","P.D.Senanayake","20","Male","Single","Yes","IT Manager","IT","2005-06-18","2012-01-01","7","73500.0","5062","2010","Telemar","20","26.243","1","0","1","Personal Reason","1"
"E001482","B.L.Anand","30","Male","Single","No","Junior Designer","Software","1994-06-27","2008-05-01","14","30600.0","681","9555","Hazard Management System","4","37.515","1","0","1","","0"
"E001483","N.N.H.Y.Senarathna","21","Male","Single","No","Sales Executive","Financial","1972-06-15","1979-06-03","7","31500.0","669","2128","Interplan","14","98.805","1","0","3","","0"
"E001484","Z.U.Darwin","24","Female","Married","Yes","","","1980-08-11","1990-03-01","10","0.0","0","4386","Covance","1","54.979","1","4","1","Salary Problem","1"
"E001485","L.O.Wijepala","42","Male","Single","No","Junior Designer","Software","1986-09-16","2000-01-20","14","30600.0","740","5055","Trico","8","62.506","1","0","3","","0"
"E001486","N.G.Samararathna","25","Female","Single","Yes","Tech Lead","Software","1975-07-06","1976-12-16","1","75000.0","6348","4156","Interplan","19","30.935","0","0","4","Travelling Problem","1"
"E001487","Z.Z.Q.Arafat","22","Female","Single","No","","","1986-10-29","1995-12-23","9","0.0","0","4890","Hazard Management System","13","81.568","1","0","0","","0"
"E001488","A.Y.Kodithuwakku","46","Female","Married","No","","","1993-01-12","2011-11-04","18","0.0","0","3141","Covance","3","24.444","4","5","2","Lack of benefits","1"
"E001489","H.G.C.Abdulla","33","Male","Single","No","Sales Executive","Financial","1990-04-12","2006-03-23","16","31500.0","515","6215","Claim Administration System Migration","13","49.408","1","0","5","Personal Reason","1"
"E001490","J.Z.Seram","26","Female","Single","No","Junior Business Analyst","Financial","1971-03-16","1985-11-16","14","22500.0","342","9569","Telemar","15","13.037","2","0","3","Travelling Problem","1"
"E001491","C.F.X.Sarathchandra","48","Female","Married","No","Junior Business Analyst","Financial","1971-09-22","1991-01-06","20","22500.0","243","2199","Covance","8","68.034","0","1","2","Salary Problem","1"
"E001492","K.V.K.V.Kapugedara","45","Female","Single","No","Software Engineering Intern","Software","2001-01-06","2008-08-24","7","26700.0","407","2377","Budget Management Centre","5","36.938","2","0","4","Travelling Problem","1"
"E001493","U.L.De Silva","21","Female","Single","Yes","Software Architecturer","Planning","1976-02-08","1987-10-28","11","80400.0","1208","6635","Incident Management System","8","11.176","2","0","2","","0"
"E001494","O.N.Viswanathan","34","Male","Single","No","","","2009-07-17","2014-12-20","5","0.0","0","1174","Incident Management System","1","52.617","1","0","6","Higher Education","1"
"E001495","W.Sirisena","38","Male","Married","No","IT","IT","2008-02-25","2012-09-13","4","20500.0","452","5465","Trico","12","58.334","0","2","0","","0"
"E001496","Q.Q.Rayen","26","Male","Single","No","IT Trainee","IT","1985-02-23","1990-07-09","5","20500.0","345","3626","Trico","14","56.542","2","0","0","Left the country","1"
"E001497","C.Warnapura","22","Female","Single","No","IT","IT","1999-12-25","2002-07-09","3","20500.0","491","3586","Risk Management System","2","80.257","1","0","7","Personal Reason","1"
"E001498","T.S.E.De Souza","40","Female","Single","Yes","Software Architecturer","Planning","1984-03-25","1989-04-13","5","80400.0","10163","1664","Telemar","7","79.212","0","0","5","Travelling Problem","1"
"E001499","V.O.Sarathchandra","35","Female","Married","Yes","IT Manager","IT","2003-01-04","2010-01-26","7","73500.0","1711","9547","Covance","10","83.248","1","2","1","Lack of benefits","1"
"E001500","C.U.V.Z.C.Zoysa","30","Female","Married","Yes","Assistant Accountant","Financial","2009-04-17","2012-09-03","3","67500.0","3009","2259","Covance","6","84.151","0","2","2","Lack of benefits","1"
"E001501","W.M.W.De Souza","43","Male","Single","Yes","System Analyst","Planning","1982-06-06","1993-02-06","11","91250.0","19529","3662","Trico","13","60.84","1","0","1","","0"
"E001502","J.Q.Y.W.Soris","37","Female","Single","Yes","Assistant Accountant","Financial","2007-06-14","2011-11-28","4","67500.0","5531","3313","Covance","17","77.938","0","0","4","Travelling Problem","1"
"E001503","K.G.Silva","27","Female","Single","No","IT Trainee","IT","1975-01-13","2004-04-12","29","20500.0","221","8511","Risk Management System","0","25.048","0","0","4","Travelling Problem","1"
"E001504","T.Z.I.Madasekera","31","Male","Single","No","Developer Intern","Software","2009-09-09","2012-01-01","3","27600.0","333","2924","Covance","15","48.957","2","0","2","","0"
"E001505","V.T.G.M.Pathirana","48","Male","Married","No","IT","IT","1972-02-05","2005-01-13","33","20500.0","426","6471","Incident Management System","5","81.57","1","2","7","Personal Reason","1"
"E001506","K.X.Musammil","28","Female","Single","No","Sales Executive","Financial","1995-03-07","2009-02-04","14","31500.0","564","7135","Incident Management System","20","62.257","2","0","4","Travelling Problem","1"
"E001507","U.P.W.U.George","23","Female","Single","Yes","System Admin","IT","2010-11-05","2011-01-14","1","58700.0","1703","9381","Covance","19","37.282","2","0","4","Personal Reason","1"
"E001508","D.A.Premasiri","35","Female","Single","Yes","HR Manager","HR","1984-02-09","1985-10-18","1","58700.0","1726","1483","New York Life","14","56.723","0","0","5","Travelling Problem","1"
"E001509","V.P.J.S.Gunarathna","26","Female","Single","No","Sales Executive","Financial","2006-10-30","2007-01-30","1","31500.0","731","1113","Claim Administration System Migration","10","15.686","0","0","4","Travelling Problem","1"
"E001510","A.G.Mendis","41","Female","Single","No","IT Officer - Intern","IT","1971-08-08","1978-10-13","7","25400.0","400","7412","Claim Administration System Migration","3","81.342","0","0","4","Travelling Problem","1"
"E001511","N.R.Q.M.Bandaranayake","28","Female","Single","No","Software Tester","Software","1973-10-29","2002-01-07","29","20500.0","483","6123","Telemar","16","61.555","1","0","3","Travelling Problem","1"
"E001512","Q.O.Senarathna","44","Female","Married","No","IT","IT","1995-07-11","1999-07-04","4","20500.0","531","4575","Telemar","6","79.416","2","2","3","Lack of benefits","1"
"E001513","J.E.U.Senarathna","32","Male","Married","No","Software Tester","Software","1980-02-18","2001-12-08","21","20500.0","258","2038","Interplan","8","65.001","3","1","3","Low salary and Lack of benefits","1"
"E001514","Z.Samarasinghe","44","Female","Single","No","Junior Designer","Software","2006-09-27","2008-02-06","2","30600.0","496","2432","Budget Management Centre","1","15.68","1","0","5","Travelling Problem","1"
"E001515","J.A.M.Seram","39","Female","Single","No","","","1994-03-15","2007-07-16","13","0.0","0","7175","Interplan","11","28.718","0","0","4","Travelling Problem","1"
"E001516","D.Daniel","49","Male","Single","No","Sales Executive","Financial","1992-05-03","2014-08-04","22","31500.0","617","9728","Ethna","6","33.308","0","0","1","","0"
"E001517","U.C.G.Samararathna","22","Male","Single","No","IT Officer - Intern","IT","1970-06-28","2001-08-24","31","25400.0","392","4959","Telemar","19","1.095","2","0","3","Personal Reason","1"
"E001518","B.Warnapura","40","Female","Married","Yes","IT Project Leader","IT","1982-01-23","2011-01-12","29","78300.0","6400","8988","Claim Administration System Migration","7","50.039","5","0","2","Lack of benefits","1"
"E001519","J.Daniel","40","Female","Single","No","Software Engineering Intern","Software","1989-01-24","1993-10-30","4","26700.0","392","7875","Risk Management System","20","52.076","0","0","3","Travelling Problem","1"
"E001520","P.I.P.A.Viswanathan","43","Male","Married","No","Software Tester","Software","1979-05-04","1997-05-04","18","20500.0","268","1683","Budget Management Centre","8","5.176","0","3","2","","0"
"E001521","C.J.Samararathna","42","Female","Married","No","IT Trainee","IT","2000-04-07","2013-04-12","13","20500.0","310","1259","Incident Management System","6","40.136","2","3","3","Lack of benefits","1"
"E001522","W.Samarasinghe","38","Male","Single","Yes","IT Project Leader","IT","1991-05-18","2008-04-11","17","78300.0","2635","5088","Budget Management Centre","18","72.3","0","0","3","","0"
"E001523","N.Jayasuriya","30","Male","Married","No","Sales Executive","Financial","1999-12-23","2011-09-27","12","31500.0","525","1273","Trico","10","90.026","5","5","3","Low salary and Lack of benefits","1"
"E001524","X.D.Senarathna","32","Female","Single","Yes","Finance Manager","Financial","2010-01-05","2013-03-02","3","120700.0","15158","7736","Incident Management System","3","33.57","1","0","3","Travelling Problem","1"
"E001525","N.F.Wickramasinghe","44","Female","Single","No","Software Engineering Intern","Software","1986-03-31","2007-04-01","21","26700.0","349","5605","Hazard Management System","13","15.753","0","0","5","Travelling Problem","1"
"E001526","Q.H.T.Warnapura","36","Female","Single","No","Junior Designer","Software","1983-12-18","1989-01-17","6","30600.0","589","1877","Budget Management Centre","14","1.628","1","0","3","","0"
"E001527","B.Arafat","31","Female","Married","No","IT","IT","1997-03-28","2014-04-28","17","20500.0","517","8282","Budget Management Centre","15","49.105","4","4","1","Lack of benefits","1"
"E001528","H.P.H.G.De Silva","28","Female","Single","No","Software Tester","Software","2003-03-13","2009-01-03","6","20500.0","362","8416","Budget Management Centre","19","86.397","0","0","5","Travelling Problem","1"
"E001529","C.Y.Nanadasiri","33","Female","Single","No","IT Officer - Intern","IT","2005-05-25","2013-04-15","8","25400.0","351","6561","Budget Management Centre","20","57.289","2","0","3","Travelling Problem","1"
"E001530","Y.F.J.Gunarathna","24","Female","Single","No","Junior Designer","Software","1989-07-02","2001-01-09","12","30600.0","534","7308","Hazard Management System","4","74.067","1","0","4","Travelling Problem","1"
"E001531","D.Wijepala","22","Male","Single","Yes","QA Mananger","QA","1981-09-15","2008-06-29","27","82600.0","2477","1896","Claim Administration System Migration","6","73.535","1","0","1","","0"
"E001532","L.P.Q.Seram","46","Male","Single","No","Junior Business Analyst","Financial","1993-12-31","2006-07-03","13","22500.0","240","1424","Covance","13","95.186","2","0","3","Personal Reason","1"
"E001533","H.Seram","29","Male","Married","Yes","HR Manager","HR","1996-11-26","2015-01-17","19","58700.0","2153","7946","Trico","16","4.025","0","4","7","Low salary and Lack of benefits","1"
"E001534","J.L.E.Silva","24","Female","Single","Yes","Senior Business Analyst","Financial","1994-05-09","2003-11-04","9","72300.0","1218","9545","Claim Administration System Migration","8","1.185","0","0","3","","0"
"E001535","N.E.J.F.Gunawardene","40","Female","Single","No","IT Trainee","IT","1993-01-17","2011-01-09","18","20500.0","370","7772","Claim Administration System Migration","8","26.651","0","0","5","Travelling Problem","1"
"E001536","Q.C.B.T.I.Sarathchandra","21","Male","Single","No","IT Officer - Intern","IT","2004-04-04","2005-05-10","1","25400.0","387","4883","Interplan","16","90.447","2","0","3","","0"
"E001537","J.Y.Senarathna","28","Female","Married","No","Software Engineering Intern","Software","1993-06-16","1994-04-23","1","26700.0","385","4529","Budget Management Centre","16","79.576","0","3","1","Lack of benefits","1"
"E001538","N.M.Soris","25","Male","Single","No","","","1974-01-08","2009-12-08","35","0.0","0","6213","New York Life","13","4.747","0","0","5","Higher Education","1"
"E001539","C.T.B.Rajapaksha","25","Female","Single","Yes","Software Architecturer","Planning","2000-10-17","2004-08-25","4","80400.0","5002","7783","Budget Management Centre","2","15.372","1","0","5","Travelling Problem","1"
"E001540","E.B.Sarathchandra","50","Male","Single","No","Junior Business Analyst","Financial","1983-10-26","1995-06-01","12","22500.0","203","5137","Btaf","15","52.094","2","0","7","Personal Reason","1"
"E001541","T.Gunarathna","49","Male","Single","No","Developer Intern","Software","1988-04-12","1989-02-13","1","27600.0","576","6418","Budget Management Centre","4","70.42","1","0","8","Personal Reason","1"
"E001542","U.Z.De Silva","29","Female","Single","No","Junior Designer","Software","1990-10-09","2007-10-19","17","30600.0","481","8953","Claim Administration System Migration","14","44.623","2","0","4","Travelling Problem","1"
"E001543","Z.Musammil","48","Female","Single","No","Sales Executive","Financial","1977-12-27","2011-09-23","34","31500.0","649","8249","Btaf","14","2.494","0","0","6","Personal Reason","1"
"E001544","X.J.M.W.Rodrigo","32","Female","Married","No","IT Officer - Intern","IT","1991-01-22","1997-01-29","6","25400.0","312","8646","New York Life","19","16.801","5","3","2","Lack of benefits","1"
"E001545","I.Darwin","42","Female","Single","Yes","Senior Designer","Software","2004-07-27","2012-02-07","8","67600.0","4032","1775","Hazard Management System","7","30.673","2","0","5","Travelling Problem","1"
"E001546","F.O.V.Premasiri","32","Male","Single","No","Software Engineering Intern","Software","1991-12-03","2014-01-18","23","26700.0","536","5905","Covance","12","79.831","1","0","1","","0"
"E001547","E.M.T.I.Bandaranayake","40","Male","Single","No","Junior Designer","Software","1994-11-30","1995-08-29","1","30600.0","745","2460","Risk Management System","12","10.678","0","0","3","","0"
"E001548","H.E.X.Jayawardena","20","Female","Single","No","Software Engineering Intern","Software","1971-01-29","1981-10-11","10","26700.0","526","1325","CAT Migration","3","37.265","0","0","6","Personal Reason","1"
"E001549","S.S.P.Daniel","29","Female","Single","Yes","","","2009-11-25","2013-01-29","4","0.0","0","7245","New York Life","4","82.606","1","0","3","Travelling Problem","1"
"E001550","I.Pathirana","25","Female","Single","No","IT Trainee","IT","1989-08-07","2007-07-03","18","20500.0","353","3893","Budget Management Centre","3","11.792","2","0","3","Travelling Problem","1"
"E001551","Z.B.U.Premasiri","36","Male","Single","No","Developer Intern","Software","2001-08-19","2013-05-22","12","27600.0","548","8215","Ethna","15","25.415","2","0","0","","0"
"E001552","U.S.Arafat","23","Female","Single","No","Developer Intern","Software","1988-06-09","1995-08-02","7","27600.0","527","1075","Hazard Management System","0","29.993","2","0","1","Personal Reason","1"
"E001553","G.Y.P.Daniel","37","Female","Married","No","IT Trainee","IT","1998-01-09","2000-07-29","2","20500.0","366","8391","Covance","17","55.087","0","2","1","Lack of benefits","1"
"E001554","G.Jayasuriya","20","Female","Single","No","Junior Designer","Software","1986-12-08","2002-09-26","16","30600.0","745","6214","Telemar","20","31.827","1","0","4","Personal Reason","1"
"E001555","S.W.T.N.Perera","43","Female","Married","No","Software Tester","Software","1974-04-17","1979-05-26","5","20500.0","391","1249","Interplan","9","48.108","4","0","1","Lack of benefits","1"
"E001556","Y.T.Seram","50","Female","Married","No","IT Officer - Intern","IT","1995-09-28","1997-10-09","2","25400.0","396","5843","Incident Management System","3","79.854","4","1","1","Lack of benefits","1"
"E001557","X.P.Rayen","20","Female","Married","Yes","Tech Lead","Software","1975-09-18","1978-06-06","3","75000.0","977","9035","CAT Migration","10","42.771","2","3","2","","0"
"E001558","W.L.Z.N.Soertsz","37","Male","Married","No","IT Trainee","IT","2003-08-09","2012-12-07","9","20500.0","295","3787","Incident Management System","12","61.908","5","3","0","","0"
"E001559","C.Kapukotuwa","36","Female","Single","No","Junior Business Analyst","Financial","2008-07-11","2013-12-14","5","22500.0","380","6844","Incident Management System","7","17.353","1","0","3","Travelling Problem","1"
"E001560","L.K.P.T.Perera","34","Female","Single","No","IT","IT","2005-04-13","2012-03-26","7","20500.0","527","4025","Interplan","17","49.499","0","0","3","Travelling Problem","1"
"E001561","F.D.M.Rodrigo","29","Female","Single","Yes","Software Architecturer","Planning","1972-05-14","2007-05-20","35","80400.0","7380","2612","Incident Management System","0","83.556","0","0","5","Travelling Problem","1"
"E001562","P.I.Viswanathan","45","Female","Married","Yes","HR Manager","HR","1987-11-10","1993-11-10","6","58700.0","1469","9760","Interplan","11","97.084","2","3","1","Lack of benefits","1"
"E001563","F.Madasekera","48","Male","Single","No","IT","IT","1996-06-10","2009-01-18","13","20500.0","412","5131","Telemar","19","95.501","2","0","3","","0"
"E001564","R.I.Rajapaksha","30","Female","Single","Yes","Assistant Accountant","Financial","1978-06-23","1980-01-02","2","67500.0","3073","3419","Ethna","13","34.994","0","0","5","Travelling Problem","1"
"E001565","O.K.Gunarathna","45","Female","Married","No","IT Officer - Intern","IT","2008-07-16","2010-03-31","2","25400.0","363","9326","Trico","13","21.235","4","5","2","Lack of benefits","1"
"E001566","Z.T.Jayawardena","49","Male","Single","No","IT Trainee","IT","2008-04-07","2010-01-20","2","20500.0","304","3530","Hazard Management System","19","34.342","1","0","0","","0"
"E001567","Z.Rajapaksha","36","Female","Single","Yes","Tech Lead","Software","1994-06-29","2002-03-28","8","75000.0","5278","7576","Budget Management Centre","3","60.542","2","0","4","Travelling Problem","1"
"E001568","K.F.Rajakaruna","33","Female","Single","Yes","IT App Man","IT","2002-04-05","2007-12-05","5","53000.0","2829","2363","Covance","18","13.233","0","0","5","Travelling Problem","1"
"E001569","R.I.Madasekera","23","Female","Single","Yes","System Admin","IT","2010-05-25","2012-07-03","2","58700.0","2045","4974","Budget Management Centre","1","89.672","2","0","1","Personal Reason","1"
"E001570","O.X.G.B.Darwin","21","Female","Single","No","Developer Intern","Software","1999-04-12","2007-10-23","8","27600.0","327","8808","Ethna","16","40.432","2","0","0","","0"
"E001571","G.L.K.D.Zoysa","22","Female","Married","No","Software Engineering Intern","Software","1979-01-29","1995-09-05","16","26700.0","506","7744","Btaf","18","87.224","4","5","2","","0"
"E001572","B.Daniel","36","Female","Married","No","Junior Designer","Software","1996-10-30","2013-06-10","17","30600.0","572","2674","Telemar","4","52.93","1","2","2","Lack of benefits","1"
"E001573","F.Y.De Vaas","20","Female","Single","No","Junior Designer","Software","1995-06-08","1999-10-02","4","30600.0","438","7708","New York Life","20","59.074","2","0","7","Personal Reason","1"
"E001574","N.T.T.Premasiri","41","Female","Married","No","Software Engineering Intern","Software","1984-04-24","2011-08-19","27","26700.0","547","2458","Ethna","10","54.211","0","5","3","Lack of benefits","1"
"E001575","E.M.E.I.Madasekera","49","Female","Single","No","IT Officer - Intern","IT","1982-01-07","1997-01-26","15","25400.0","378","5759","Covance","11","8.138","0","0","3","","0"
"E001576","J.I.M.C.Karunasena","29","Male","Married","No","Software Tester","Software","1973-02-12","1991-12-14","18","20500.0","245","9959","Incident Management System","18","10.905","3","0","2","","0"
"E001577","Y.A.J.Karunasena","25","Female","Single","Yes","System Analyst","Planning","1993-08-20","2004-07-26","11","91250.0","17304","2087","Trico","2","31.013","2","0","4","Travelling Problem","1"
"E001578","Q.L.Nanadasiri","32","Female","Single","Yes","HR Manager","HR","1997-12-06","2002-09-18","5","58700.0","1438","6827","Covance","16","70.584","1","0","5","Travelling Problem","1"
"E001579","H.P.George","29","Female","Married","No","Software Engineering Intern","Software","1973-01-11","1999-03-14","26","26700.0","459","1147","Budget Management Centre","13","41.875","0","3","3","Lack of benefits","1"
"E001580","J.Seram","27","Female","Married","No","","","1972-09-04","2011-12-21","39","0.0","0","5965","Risk Management System","4","21.242","2","1","3","Lack of benefits","1"
"E001581","A.Zoysa","46","Male","Single","No","Software Engineering Intern","Software","1990-11-23","1996-09-27","6","26700.0","490","3620","Interplan","3","62.049","0","0","2","Personal Reason","1"
"E001582","E.P.G.K.Rajakaruna","20","Male","Married","No","Junior Designer","Software","1978-08-26","1983-05-18","5","30600.0","455","4865","Telemar","4","74.14","5","2","0","","0"
"E001583","H.T.V.Zoysa","34","Male","Single","Yes","QA Mananger","QA","2000-05-08","2011-06-22","11","82600.0","9839","2543","Incident Management System","2","50.698","0","0","1","","0"
"E001584","L.G.R.D.F.Nanadasiri","36","Male","Single","Yes","Senior Business Analyst","Financial","2007-03-06","2010-11-18","3","72300.0","2845","1370","Claim Administration System Migration","14","55.282","0","0","2","","0"
"E001585","V.G.F.Z.Pathirana","39","Female","Single","No","IT","IT","1982-07-02","2004-07-14","22","20500.0","476","3844","Covance","9","34.624","1","0","3","Travelling Problem","1"
"E001586","L.Q.B.Jayasuriya","29","Female","Single","Yes","IT App Man","IT","1991-09-29","2002-05-24","11","53000.0","2013","4191","Claim Administration System Migration","20","9.868","1","0","1","","0"
"E001587","W.Fernando","31","Female","Single","No","","","1972-08-24","2004-02-13","32","0.0","0","3483","Btaf","0","80.763","1","0","3","Travelling Problem","1"
"E001588","E.F.Y.T.N.Anand","23","Male","Single","No","Junior Designer","Software","2009-10-19","2014-03-04","5","30600.0","642","5655","Covance","3","15.468","1","0","5","Personal Reason","1"
"E001589","N.Viswanathan","37","Female","Single","No","IT Officer - Intern","IT","1997-11-06","2001-08-02","4","25400.0","314","2107","Ethna","0","64.867","2","0","5","Travelling Problem","1"
"E001590","G.Bandaranayake","41","Female","Single","No","Developer Intern","Software","2003-04-20","2011-09-04","8","27600.0","501","9565","Claim Administration System Migration","3","33.776","1","0","4","Travelling Problem","1"
"E001591","D.T.D.Musammil","26","Female","Single","Yes","System Analyst","Planning","1994-05-17","2003-01-06","9","91250.0","5004","1253","Hazard Management System","15","72.281","1","0","5","Travelling Problem","1"
"E001592","X.X.I.Seram","43","Male","Married","No","Junior Designer","Software","2000-07-08","2006-06-17","6","30600.0","719","4484","Btaf","0","56.236","1","3","2","Personal Reason","1"
"E001593","G.Q.N.Rayen","24","Female","Single","Yes","Accountant","Financial","2004-02-29","2014-09-30","10","90700.0","10985","9192","New York Life","12","27.717","2","0","3","Travelling Problem","1"
"E001594","H.H.Silva","47","Male","Single","No","Software Engineering Intern","Software","1970-06-22","2006-06-07","36","26700.0","430","2080","CAT Migration","0","57.125","2","0","1","","0"
"E001595","E.E.Anand","25","Male","Single","No","IT Officer - Intern","IT","1986-02-02","2007-01-12","21","25400.0","332","8957","Trico","10","60.694","1","0","0","","0"
"E001596","C.P.Y.Senanayake","50","Female","Single","No","IT Trainee","IT","2000-07-23","2005-07-15","5","20500.0","355","9655","Covance","19","15.927","2","0","5","Travelling Problem","1"
"E001597","U.George","25","Female","Single","No","Developer Intern","Software","2005-11-17","2014-12-13","9","27600.0","330","4430","Trico","14","56.393","1","0","3","Travelling Problem","1"
"E001598","V.G.Anand","30","Female","Single","No","IT Officer - Intern","IT","1995-02-27","2009-07-29","14","25400.0","355","8108","Telemar","17","14.944","2","0","3","Travelling Problem","1"
"E001599","R.Q.H.Soertsz","34","Female","Married","No","Software Tester","Software","1982-11-15","1984-12-18","2","20500.0","244","5869","Interplan","13","66.983","1","0","2","Salary Problem","1"
"E001600","V.U.Rayen","39","Female","Married","No","IT Officer - Intern","IT","1973-04-14","1995-01-23","22","25400.0","353","6742","Risk Management System","10","87.714","4","4","3","Lack of benefits","1"
"E001601","R.O.U.Senanayake","39","Male","Single","No","IT Trainee","IT","1988-08-11","2015-01-01","27","20500.0","374","1980","Risk Management System","11","24.208","1","0","4","Personal Reason","1"
"E001602","L.Gunarathna","24","Female","Single","No","Junior Business Analyst","Financial","2004-03-03","2011-04-04","7","22500.0","225","2438","Incident Management System","19","2.175","2","0","2","Personal Reason","1"
"E001603","Q.M.Rayen","37","Female","Single","No","IT Trainee","IT","1973-09-12","1992-01-02","19","20500.0","304","9657","Hazard Management System","19","59.193","0","0","3","Travelling Problem","1"
"E001604","E.X.A.T.Zoysa","37","Female","Married","No","IT","IT","2009-04-02","2010-03-03","1","20500.0","332","6307","Ethna","20","18.881","3","2","3","Lack of benefits","1"
"E001605","Q.Viswanathan","20","Male","Single","No","Sales Executive","Financial","2007-12-23","2014-04-15","7","31500.0","641","3479","Covance","19","20.994","2","0","6","Personal Reason","1"
"E001606","D.Daniel","30","Female","Single","Yes","Senior Business Analyst","Financial","2006-01-14","2011-04-23","5","72300.0","8182","3288","Covance","10","57.345","0","0","4","Travelling Problem","1"
"E001607","A.H.U.A.Arafat","32","Male","Married","No","Software Tester","Software","2002-02-12","2005-02-01","3","20500.0","316","3052","Btaf","7","15.403","4","1","6","Personal Reason","1"
"E001608","J.Rayen","43","Female","Single","Yes","Software Architecturer","Planning","1996-12-26","1998-04-09","2","80400.0","9761","3187","Hazard Management System","2","96.208","1","0","4","Travelling Problem","1"
"E001609","R.A.Nanadasiri","47","Female","Single","Yes","System Analyst","Planning","2000-10-30","2001-02-13","1","91250.0","11319","1961","Risk Management System","17","42.06","1","0","4","Travelling Problem","1"
"E001610","R.E.Madasekera","33","Female","Single","Yes","Senior Business Analyst","Financial","1987-07-11","1998-08-01","11","72300.0","8306","8707","CAT Migration","5","57.147","1","0","5","Travelling Problem","1"
"E001611","E.Perera","27","Female","Married","Yes","System Analyst","Planning","1986-07-21","2001-05-06","15","91250.0","10867","8018","Hazard Management System","7","72.92","3","3","2","Lack of benefits","1"
"E001612","G.K.I.Daniel","39","Female","Single","No","Software Engineering Intern","Software","1984-02-11","1995-09-16","11","26700.0","532","7729","Covance","11","7.952","0","0","2","","0"
"E001613","B.H.C.Gunawardene","23","Female","Single","No","Software Tester","Software","1996-12-05","2008-06-18","12","20500.0","380","7041","Interplan","18","53.484","1","0","1","Personal Reason","1"
"E001614","N.H.Q.De Silva","30","Female","Single","No","Junior Designer","Software","1981-03-11","1988-12-16","7","30600.0","414","7807","New York Life","1","39.925","1","0","5","Travelling Problem","1"
"E001615","O.Z.Soertsz","22","Male","Single","No","Junior Business Analyst","Financial","2010-04-24","2011-02-13","1","22500.0","236","7729","Trico","0","75.374","2","0","0","Travelling and Salary Problem","1"
"E001616","R.Jayasuriya","28","Male","Married","No","IT Officer - Intern","IT","1980-03-10","1986-01-20","6","25400.0","303","2647","Trico","9","70.95","1","3","1","Low salary and Lack of benefits","1"
"E001617","C.E.Soris","48","Female","Single","No","","","1992-06-07","1995-11-22","3","0.0","0","9934","Interplan","20","28.425","1","0","3","Travelling Problem","1"
"E001618","N.D.Kapukotuwa","33","Female","Single","Yes","HR Manager","HR","1987-05-22","2010-01-09","23","58700.0","903","2318","New York Life","19","11.421","2","0","5","Travelling Problem","1"
